"case_ID","pay_attn_to_politics","vote_in_2012","vote_choice_2012","attn_to_news","registered_to_vote","party_of_registration","vote_in_primary","vote_choice_primary","vote_for_president","vote_choice_president","approve_of_congress","country_on_track","approve_of_president","feeling_dem_cand","feeling_rep_cand","feeling_prev_pres","feeling_bill_clinton","feeling_dem_party","feeling_rep_party","have_health_insurance","favor_2010_health_care_law","liberal.cons_self","current_econ","party_better_economy","importance_of_guns","policy_immigrants","build_wall","speak_english","syrian_refugees","gov_waste_.tax_money","global_warming","death_penalty","obama_angry","obama_proud","religion_important","attend_church","attend_church_often","born_again_christian","age","married","education","hispanic","white","black.af.amer","amer.indian.alaskan","asian","hawaiian.pac.islander.mentioned","native_status_parents","grandparents_born_outside_US"
2298,"3. About half the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered","3. None or 'independent'","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",80,0,90,70,60,30,"1. Favor","1. Favor","3. Slightly liberal","3. Neither good nor bad","1. Democrats","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","3. Not very important","1. Favor","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","4. Most of the time","1. Important","1. Yes","3. Once or twice a month","2. No",31,"1. Married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2299,"4. Some of the time","2. No, didn't vote",NA,"3. A moderate amount","1. Registered","3. None or 'independent'","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","1. Approve",51,5,93,74,74,32,"3. Neither favor nor oppose","3. Neither favor nor oppose",NA,"3. Neither good nor bad","1. Democrats","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","3. Neither favor nor oppose","2. Waste some","1. Has probably been happening","1. Favor","2. Some of the time","3. About half the time","2. Not important","2. No",NA,NA,21,"1. Married","4. Associate degree","1. Yes","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
2300,"1. Always","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","3. Another Democrat",NA,NA,"1. Approve","1. Right direction","1. Approve",100,100,100,100,100,100,"1. Favor","1. Favor","7. Extremely conservative","1. Very good","3. Not much difference between them","1. Extremely important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","3. Neither favor nor oppose","1. Very important","2. Oppose","3. Don't waste very much","1. Has probably been happening","1. Favor","1. Never","5. Always","1. Important","1. Yes","1. Every week","2. No",26,"5. Never married","2. High school graduate","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
2301,"2. Most of the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered",NA,"1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",1,85,2,3,16,70,"2. Oppose","2. Oppose","6. Conservative","3. Neither good nor bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","3. About half the time","1. Never","1. Important","1. Yes","1. Every week","1. Yes",68,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2302,"2. Most of the time","2. No, didn't vote",NA,"3. A moderate amount","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","3. Gary Johnson","1. Approve","2. Wrong track","2. Disapprove",15,30,60,50,40,60,"2. Oppose","2. Oppose","4. Moderate, middle of the road","4. Bad","2. Republicans","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","2. Somewhat important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","2. Some of the time","1. Important","1. Yes","4. A few times a year","2. No",31,"5. Never married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2303,"3. About half the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","7. Marco Rubio","2. No",NA,"2. Disapprove","2. Wrong track","2. Disapprove",30,40,15,15,0,70,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","2. Somewhat important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","2. Some of the time","1. Important","2. No",NA,"2. No",87,"2. Widowed","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
2304,"5. Never","2. No, didn't vote",NA,"4. A little","1. Registered","3. None or 'independent'","2. No, didn't vote in primary or caucus",NA,"1. Yes","3. Gary Johnson","2. Disapprove","2. Wrong track","1. Approve",5,100,79,72,87,2,"1. Favor","1. Favor","5. Slightly conservative","4. Bad","2. Republicans","5. Not important at all","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","2. Some of the time","2. Not important","2. No",NA,NA,22,"5. Never married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
2305,"2. Most of the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","9. Someone else who is not a Republican or Democrat","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,60,60,50,0,0,"2. Oppose","2. Oppose","4. Moderate, middle of the road","3. Neither good nor bad","3. Not much difference between them","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","3. About half the time","1. Never","1. Important","2. No",NA,"2. No",56,"1. Married","7. Professional school degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
2306,"3. About half the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",99,0,100,90,75,15,"1. Favor","1. Favor","1. Extremely liberal","2. Good","3. Not much difference between them","2. Very important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","2. Oppose","4. Not at all important","1. Favor","2. Waste some","1. Has probably been happening","2. Oppose","1. Never","5. Always","2. Not important","2. No",NA,"2. No",32,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
2307,"1. Always","1. Yes, voted","1. Barack Obama","1. A great deal","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","6. John Kasich","1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",15,0,70,0,40,30,"2. Oppose","2. Oppose","5. Slightly conservative","3. Neither good nor bad","3. Not much difference between them","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","3. Neither favor nor oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","2. Some of the time","1. Important","1. Yes","4. A few times a year","2. No",63,"1. Married","7. Professional school degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
2308,"4. Some of the time","1. Yes, voted","1. Barack Obama","4. A little","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","1. Approve","2. Wrong track","1. Approve",100,0,100,100,100,50,"3. Neither favor nor oppose","3. Neither favor nor oppose",NA,"4. Bad","1. Democrats","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","2. Somewhat important","3. Neither favor nor oppose","3. Don't waste very much","2. Probably hasn't been happening","1. Favor","1. Never","4. Most of the time","1. Important","1. Yes","2. Almost every week","1. Yes",40,"3. Divorced","2. High school graduate","2. No","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","3. Both parents born in another country","4. All"
2309,"2. Most of the time","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","2. Bernie Sanders","1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",87,0,85,85,65,2,"1. Favor","1. Favor","1. Extremely liberal","3. Neither good nor bad","1. Democrats","1. Extremely important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","2. Oppose","4. Not at all important","1. Favor","2. Waste some","1. Has probably been happening","2. Oppose","2. Some of the time","5. Always","2. Not important","2. No",NA,NA,33,"5. Never married","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2310,"3. About half the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered","3. None or 'independent'","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",2,80,25,0,10,15,"2. Oppose","2. Oppose","4. Moderate, middle of the road","5. Very bad","2. Republicans","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","2. Some of the time","1. Important","1. Yes","1. Every week","1. Yes",55,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2311,"4. Some of the time","2. No, didn't vote",NA,"4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"1. Approve","1. Right direction","1. Approve",1,1,31,51,7,16,"2. Oppose","2. Oppose",NA,"5. Very bad","3. Not much difference between them","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","4. Not at all important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","1. Never","2. Not important","2. No",NA,NA,27,"3. Divorced","2. High school graduate","2. No","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2312,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","6. John Kasich","1. Yes","5. Other","2. Disapprove","1. Right direction","1. Approve",16,0,70,17,32,71,"2. Oppose","2. Oppose","4. Moderate, middle of the road","2. Good","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","1. Favor","2. Waste some","1. Has probably been happening","1. Favor","2. Some of the time","4. Most of the time","1. Important","1. Yes","1. Every week","1. Yes",55,"3. Divorced","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2313,"3. About half the time","1. Yes, voted","2. Mitt Romney","3. A moderate amount","1. Registered",NA,"1. Yes, voted in primary or caucus","5. Ted Cruz","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,100,0,0,0,85,"2. Oppose","2. Oppose","6. Conservative","3. Neither good nor bad","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","4. Most of the time","1. Never","1. Important","1. Yes","1. Every week","1. Yes",69,"1. Married","1. Some high school or less","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2314,"2. Most of the time","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","1. Approve",85,0,100,85,86,0,"3. Neither favor nor oppose","3. Neither favor nor oppose","4. Moderate, middle of the road","3. Neither good nor bad","1. Democrats","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","2. Somewhat important","3. Neither favor nor oppose","2. Waste some","1. Has probably been happening","2. Oppose","1. Never","5. Always","1. Important","1. Yes","1. Every week","2. No",86,"2. Widowed","2. High school graduate","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","2. One parent born in the U.S.","2. Two"
2315,"2. Most of the time","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,85,0,0,15,85,"3. Neither favor nor oppose","3. Neither favor nor oppose","6. Conservative","3. Neither good nor bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","4. Most of the time","1. Never","1. Important","1. Yes","1. Every week","1. Yes",80,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
2316,"3. About half the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered","3. None or 'independent'","1. Yes, voted in primary or caucus","2. Bernie Sanders",NA,NA,"2. Disapprove","1. Right direction","1. Approve",70,0,90,70,80,15,"1. Favor","1. Favor","2. Liberal","2. Good","1. Democrats","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","1. Favor","2. Waste some","1. Has probably been happening","2. Oppose","2. Some of the time","4. Most of the time","2. Not important","2. No",NA,NA,51,"1. Married","6. Master's degree","1. Yes",NA,NA,NA,NA,NA,"3. Both parents born in another country","4. All"
2317,"3. About half the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",85,0,85,70,100,0,"3. Neither favor nor oppose","3. Neither favor nor oppose","3. Slightly liberal","5. Very bad","1. Democrats","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","3. Neither favor nor oppose","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","5. Always","1. Important","2. No",NA,NA,61,"2. Widowed","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
2318,"3. About half the time","2. No, didn't vote",NA,"4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",14,61,16,16,45,50,"2. Oppose","2. Oppose","6. Conservative","4. Bad","3. Not much difference between them","3. Somewhat important","1. Make all unauthorized immigrants felons and send them back to their home country.","3. Neither favor nor oppose","1. Very important","2. Oppose","2. Waste some","1. Has probably been happening","1. Favor","3. About half the time","1. Never","1. Important","1. Yes","3. Once or twice a month","1. Yes",NA,NA,NA,"2. No",NA,NA,NA,NA,NA,"1. Both parents born in the U.S.","0. None"
2319,"2. Most of the time","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",100,0,100,70,85,15,"1. Favor","1. Favor","3. Slightly liberal","4. Bad","1. Democrats","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","1. Favor","2. Waste some","1. Has probably been happening","1. Favor","1. Never","4. Most of the time","1. Important","1. Yes","1. Every week","1. Yes",63,"2. Widowed","2. High school graduate","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","4. All"
2320,"2. Most of the time","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered",NA,"1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",56,5,74,74,62,18,"1. Favor","1. Favor","4. Moderate, middle of the road","3. Neither good nor bad","1. Democrats","2. Very important","2. Have a guest worker program in order to work","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","2. Some of the time","2. Not important","2. No",NA,"2. No",71,"1. Married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
2321,"4. Some of the time","2. No, didn't vote",NA,"4. A little","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"2. No",NA,"1. Approve","1. Right direction","1. Approve",40,15,85,70,85,40,"3. Neither favor nor oppose","3. Neither favor nor oppose","4. Moderate, middle of the road","3. Neither good nor bad","2. Republicans","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","2. Somewhat important","3. Neither favor nor oppose","2. Waste some","1. Has probably been happening","1. Favor","2. Some of the time","3. About half the time","2. Not important","2. No",NA,NA,46,"4. Separated","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. One parent born in the U.S.","2. Two"
2322,"3. About half the time","2. No, didn't vote",NA,"4. A little","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","1. Approve",60,50,70,60,50,60,"2. Oppose","2. Oppose","4. Moderate, middle of the road","4. Bad","3. Not much difference between them","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","2. Oppose","1. Very important","1. Favor","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","1. Never","1. Important","1. Yes","1. Every week","1. Yes",61,"1. Married","4. Associate degree","2. No","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","3. Both parents born in another country","4. All"
2323,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered","2. Republican party","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","1. Approve","2. Wrong track","2. Disapprove",0,100,0,10,0,90,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","5. Not important at all","2. Have a guest worker program in order to work","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","2. Some of the time","1. Important","2. No",NA,"2. No",62,"3. Divorced","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2324,"1. Always","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered",NA,"1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","1. Approve","2. Wrong track","2. Disapprove",40,NA,40,15,40,60,"2. Oppose","2. Oppose","6. Conservative","4. Bad","1. Democrats","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","1. Never","2. Not important","2. No",NA,NA,71,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2325,"2. Most of the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",30,0,70,60,70,50,"1. Favor","1. Favor","2. Liberal","2. Good","1. Democrats","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","1. Favor","2. Waste some","1. Has probably been happening","1. Favor","2. Some of the time","4. Most of the time","2. Not important","2. No",NA,"2. No",34,"1. Married","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2326,"4. Some of the time","2. No, didn't vote",NA,"4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","2. Wrong track","1. Approve",53,0,85,50,51,51,"1. Favor","1. Favor","4. Moderate, middle of the road","4. Bad","3. Not much difference between them","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","2. Somewhat important","3. Neither favor nor oppose","2. Waste some","1. Has probably been happening","2. Oppose","1. Never","4. Most of the time","1. Important","1. Yes","3. Once or twice a month","1. Yes",25,"1. Married","3. Some college","1. Yes","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected",NA,"4. All"
2327,"2. Most of the time","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",85,0,85,85,85,30,"2. Oppose","2. Oppose","2. Liberal","2. Good","1. Democrats","2. Very important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","2. Oppose","2. Somewhat important","1. Favor","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","4. Most of the time","1. Important","1. Yes","3. Once or twice a month","2. No",61,"5. Never married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","4. All"
2328,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered","3. None or 'independent'","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",15,41,17,3,1,45,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","2. Very important","2. Have a guest worker program in order to work","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","2. Some of the time","2. Not important","2. No",NA,"2. No",49,"5. Never married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
2329,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered","2. Republican party","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,85,1,0,0,85,"2. Oppose","2. Oppose","6. Conservative","3. Neither good nor bad","2. Republicans","2. Very important","2. Have a guest worker program in order to work","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","1. Never","2. Not important","2. No",NA,"2. No",61,"4. Separated","2. High school graduate","2. No","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
2330,"2. Most of the time","1. Yes, voted",NA,"1. A great deal","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","9. Someone else who is not a Republican or Democrat","1. Yes",NA,"2. Disapprove","1. Right direction","1. Approve",0,0,85,0,60,0,"3. Neither favor nor oppose","3. Neither favor nor oppose",NA,"3. Neither good nor bad","3. Not much difference between them","3. Somewhat important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","3. Neither favor nor oppose","2. Somewhat important","3. Neither favor nor oppose","2. Waste some","1. Has probably been happening","1. Favor","3. About half the time","3. About half the time","1. Important","1. Yes","5. Never",NA,90,"5. Never married",NA,"2. No","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected",NA,"0. None"
2331,"1. Always","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","5. Ted Cruz","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",1,65,1,10,16,46,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","1. Extremely important","2. Have a guest worker program in order to work","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","2. Some of the time","1. Important","1. Yes","2. Almost every week","1. Yes",39,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2332,"2. Most of the time","2. No, didn't vote",NA,"4. A little","1. Registered","4. Other","1. Yes, voted in primary or caucus","2. Bernie Sanders","1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",40,0,70,30,50,0,"3. Neither favor nor oppose","3. Neither favor nor oppose","1. Extremely liberal","4. Bad","1. Democrats","1. Extremely important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","2. Oppose","4. Not at all important","1. Favor","1. Waste a lot","1. Has probably been happening","2. Oppose","2. Some of the time","4. Most of the time","2. Not important","2. No",NA,NA,20,"5. Never married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2333,"3. About half the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered",NA,"1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","1. Approve",100,1,100,100,97,75,"1. Favor","1. Favor",NA,"2. Good","1. Democrats","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","1. Very important","3. Neither favor nor oppose","2. Waste some","1. Has probably been happening","1. Favor","1. Never","5. Always","1. Important","1. Yes","2. Almost every week","2. No",30,"5. Never married","4. Associate degree","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2334,"2. Most of the time","1. Yes, voted","2. Mitt Romney","3. A moderate amount","1. Registered","2. Republican party","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,75,0,0,0,85,"2. Oppose","2. Oppose","7. Extremely conservative","4. Bad","2. Republicans","3. Somewhat important","1. Make all unauthorized immigrants felons and send them back to their home country.","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","1. Never","2. Not important","2. No",NA,NA,72,"2. Widowed","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
2335,"1. Always","1. Yes, voted","1. Barack Obama","1. A great deal","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",85,0,100,100,70,15,"1. Favor","1. Favor","2. Liberal","2. Good","1. Democrats","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","1. Favor","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","4. Most of the time","2. Not important","2. No",NA,NA,76,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
